Data Set 1:Time(s),Data Set 1:Absorbance,Data Set 2:Time(s),Data Set 2:Absorbance,Data Set 3:Time(s),Data Set 3:Absorbance
138.000000,0.954,138.000000,0.751,138.000000,0.484
140.000000,0.959,140.000000,0.766,140.000000,0.491
142.000000,0.965,142.000000,0.772,142.000000,0.496
144.000000,0.972,144.000000,0.787,144.000000,0.511
146.000000,0.976,146.000000,0.793,146.000000,0.519
148.000000,0.979,148.000000,0.798,148.000000,0.522
150.000000,0.984,150.000000,0.814,150.000000,0.531
152.000000,0.988,152.000000,0.819,152.000000,0.536
154.000000,0.994,154.000000,0.827,154.000000,0.546
156.000000,0.999,156.000000,0.832,156.000000,0.552
158.000000,1.002,158.000000,0.839,158.000000,0.557
160.000000,1.007,160.000000,0.845,160.000000,0.571
162.000000,1.013,162.000000,0.857,162.000000,0.576
164.000000,1.014,164.000000,0.862,164.000000,0.578
166.000000,1.018,166.000000,0.872,166.000000,0.592
168.000000,1.019,168.000000,0.877,168.000000,0.599
170.000000,1.021,170.000000,0.881,170.000000,0.612
172.000000,1.028,172.000000,0.891,172.000000,0.617
174.000000,1.029,174.000000,0.895,174.000000,0.620
176.000000,1.033,176.000000,0.901,176.000000,0.627
178.000000,1.035,178.000000,0.910,178.000000,0.632
180.000000,1.038,180.000000,0.915,180.000000,0.636
182.000000,1.039,182.000000,0.923,182.000000,0.645
184.000000,1.042,184.000000,0.929,184.000000,0.649
186.000000,1.042,186.000000,0.932,186.000000,0.655
188.000000,1.046,188.000000,0.939,188.000000,0.664
190.000000,1.047,190.000000,0.945,190.000000,0.671
192.000000,1.050,192.000000,0.949,192.000000,0.683
194.000000,1.051,194.000000,0.956,194.000000,0.690
196.000000,1.052,196.000000,0.961,196.000000,0.695
198.000000,1.055,198.000000,0.969,198.000000,0.705
200.000000,1.057,200.000000,0.973,200.000000,0.711
202.000000,1.056,202.000000,0.976,202.000000,0.715
204.000000,1.059,204.000000,0.984,204.000000,0.724
206.000000,1.059,206.000000,0.988,206.000000,0.729
208.000000,1.061,208.000000,0.992,208.000000,0.737
210.000000,1.061,210.000000,0.998,210.000000,0.741
212.000000,1.063,212.000000,1.000,212.000000,0.746
214.000000,1.065,214.000000,1.001,214.000000,0.753
216.000000,1.064,216.000000,1.008,216.000000,0.757
218.000000,1.065,218.000000,1.010,218.000000,0.762
220.000000,1.066,220.000000,1.016,220.000000,0.773
222.000000,1.067,222.000000,1.017,222.000000,0.776
224.000000,1.067,224.000000,1.018,224.000000,0.787
226.000000,1.067,226.000000,1.026,226.000000,0.791
228.000000,1.068,228.000000,1.027,228.000000,0.798
230.000000,1.070,230.000000,1.028,230.000000,0.802
232.000000,1.070,232.000000,1.034,232.000000,0.805
234.000000,1.072,234.000000,1.033,234.000000,0.809
236.000000,1.071,236.000000,1.037,236.000000,0.819
238.000000,1.071,238.000000,1.039,238.000000,0.819
240.000000,1.073,240.000000,1.041,240.000000,0.826
242.000000,1.072,242.000000,1.043,242.000000,0.831
244.000000,1.073,244.000000,1.045,244.000000,0.834
246.000000,1.072,246.000000,1.046,246.000000,0.843
248.000000,1.074,248.000000,1.049,248.000000,0.847
250.000000,1.076,250.000000,1.050,250.000000,0.852
252.000000,1.074,252.000000,1.053,252.000000,0.859
254.000000,1.074,254.000000,1.054,254.000000,0.863
256.000000,1.074,256.000000,1.054,256.000000,0.868
258.000000,1.073,258.000000,1.057,258.000000,0.878
260.000000,1.074,260.000000,1.058,260.000000,0.881
262.000000,1.075,262.000000,1.061,262.000000,0.888
264.000000,1.074,264.000000,1.064,264.000000,0.893
266.000000,1.075,266.000000,1.065,266.000000,0.895
268.000000,1.075,268.000000,1.068,268.000000,0.903
270.000000,1.077,270.000000,1.068,270.000000,0.907
272.000000,1.076,272.000000,1.070,272.000000,0.908
274.000000,1.081,274.000000,1.073,274.000000,0.914
276.000000,1.077,276.000000,1.072,276.000000,0.918
278.000000,1.076,278.000000,1.074,278.000000,0.924
280.000000,1.075,280.000000,1.075,280.000000,0.928
282.000000,1.076,282.000000,1.078,282.000000,0.933
284.000000,1.075,284.000000,1.078,284.000000,0.936
286.000000,1.075,286.000000,1.079,286.000000,0.938
288.000000,1.076,288.000000,1.079,288.000000,0.939
290.000000,1.076,290.000000,1.081,290.000000,0.946
,,292.000000,1.082,292.000000,0.949
,,294.000000,1.083,294.000000,0.950
,,296.000000,1.084,296.000000,0.958
,,298.000000,1.084,298.000000,0.958
,,300.000000,1.085,300.000000,0.963
,,302.000000,1.087,302.000000,0.967
,,304.000000,1.085,304.000000,0.970
,,306.000000,1.087,306.000000,0.975
,,308.000000,1.088,308.000000,0.977
,,310.000000,1.089,310.000000,0.979
,,312.000000,1.090,312.000000,0.984
,,314.000000,1.089,314.000000,0.987
,,316.000000,1.090,316.000000,0.991
,,318.000000,1.090,318.000000,0.993
,,320.000000,1.092,320.000000,0.995
,,322.000000,1.092,322.000000,0.998
,,324.000000,1.091,324.000000,1.001
,,326.000000,1.091,326.000000,1.005
,,328.000000,1.092,328.000000,1.009
,,330.000000,1.095,330.000000,1.010
,,332.000000,1.092,332.000000,1.013
,,334.000000,1.095,334.000000,1.017
,,336.000000,1.094,336.000000,1.018
,,338.000000,1.094,338.000000,1.022
,,340.000000,1.095,340.000000,1.025
,,342.000000,1.095,342.000000,1.027
,,344.000000,1.096,344.000000,1.030
,,346.000000,1.097,346.000000,1.030
,,348.000000,1.097,348.000000,1.034
,,350.000000,1.097,350.000000,1.036
,,352.000000,1.097,352.000000,1.039
,,354.000000,1.097,354.000000,1.041
,,356.000000,1.098,356.000000,1.043
,,358.000000,1.099,358.000000,1.045
,,360.000000,1.098,360.000000,1.049
,,362.000000,1.098,362.000000,1.050
,,364.000000,1.100,364.000000,1.050
,,366.000000,1.098,366.000000,1.052
,,368.000000,1.098,368.000000,1.054
,,370.000000,1.100,370.000000,1.058
,,372.000000,1.102,372.000000,1.059
,,374.000000,1.099,374.000000,1.060
,,376.000000,1.099,376.000000,1.063
,,378.000000,1.099,378.000000,1.064
,,380.000000,1.099,380.000000,1.067
,,382.000000,1.101,382.000000,1.067
,,384.000000,1.101,384.000000,1.070
,,386.000000,1.100,386.000000,1.072
,,388.000000,1.099,388.000000,1.074
,,390.000000,1.101,390.000000,1.074
,,,,392.000000,1.078
,,,,394.000000,1.081
,,,,396.000000,1.083
,,,,398.000000,1.083
,,,,400.000000,1.086
,,,,402.000000,1.089
,,,,404.000000,1.085
,,,,406.000000,1.088
,,,,408.000000,1.091
,,,,410.000000,1.091
,,,,412.000000,1.094
,,,,414.000000,1.098
,,,,416.000000,1.093
,,,,418.000000,1.098
,,,,420.000000,1.100
,,,,422.000000,1.097
,,,,424.000000,1.100
,,,,426.000000,1.100
,,,,428.000000,1.102
,,,,430.000000,1.103
,,,,432.000000,1.104
,,,,434.000000,1.105
,,,,436.000000,1.107
,,,,438.000000,1.107
,,,,440.000000,1.107
,,,,442.000000,1.111
,,,,444.000000,1.110
,,,,446.000000,1.112
,,,,448.000000,1.113
,,,,450.000000,1.113
,,,,452.000000,1.114
,,,,454.000000,1.117
,,,,456.000000,1.116
,,,,458.000000,1.116
,,,,460.000000,1.117
,,,,462.000000,1.117
,,,,464.000000,1.119
,,,,466.000000,1.119
,,,,468.000000,1.121
,,,,470.000000,1.122
,,,,472.000000,1.123
,,,,474.000000,1.126
,,,,476.000000,1.125
,,,,478.000000,1.125
,,,,480.000000,1.124
,,,,482.000000,1.125
,,,,484.000000,1.127
,,,,486.000000,1.129
,,,,488.000000,1.130
,,,,490.000000,1.129
,,,,492.000000,1.129
,,,,494.000000,1.132
,,,,496.000000,1.131
,,,,498.000000,1.131
,,,,500.000000,1.131
,,,,502.000000,1.134
,,,,504.000000,1.134
,,,,506.000000,1.133
,,,,508.000000,1.134
,,,,510.000000,1.137
,,,,512.000000,1.135
,,,,514.000000,1.135
,,,,516.000000,1.135
,,,,518.000000,1.136
,,,,520.000000,1.137
,,,,522.000000,1.137
,,,,524.000000,1.137
,,,,526.000000,1.139
,,,,528.000000,1.138
,,,,530.000000,1.139
,,,,532.000000,1.141
,,,,534.000000,1.142
,,,,536.000000,1.140
,,,,538.000000,1.141
,,,,540.000000,1.142
,,,,542.000000,1.140
,,,,544.000000,1.142
,,,,546.000000,1.148
,,,,548.000000,1.143
,,,,550.000000,1.142
,,,,552.000000,1.143
,,,,554.000000,1.144
,,,,556.000000,1.144
,,,,558.000000,1.145
,,,,560.000000,1.145
,,,,562.000000,1.143
,,,,564.000000,1.146
,,,,566.000000,1.145
,,,,568.000000,1.146
,,,,570.000000,1.145
,,,,572.000000,1.145
,,,,574.000000,1.147
,,,,576.000000,1.146
,,,,578.000000,1.146
,,,,580.000000,1.146
,,,,582.000000,1.146
,,,,584.000000,1.149
,,,,586.000000,1.147
,,,,588.000000,1.147
,,,,590.000000,1.147
,,,,592.000000,1.147
,,,,594.000000,1.149
,,,,596.000000,1.148
,,,,598.000000,1.149
,,,,600.000000,1.150
,,,,602.000000,1.148
,,,,604.000000,1.149
,,,,606.000000,1.150
,,,,608.000000,1.150
,,,,610.000000,1.150
,,,,612.000000,1.149
,,,,614.000000,1.149
,,,,616.000000,1.151
,,,,618.000000,1.148
,,,,620.000000,1.150
,,,,622.000000,1.149
,,,,624.000000,1.152
,,,,626.000000,1.150
,,,,628.000000,1.151
,,,,630.000000,1.151
,,,,632.000000,1.152
,,,,634.000000,1.151
,,,,636.000000,1.151
,,,,638.000000,1.150
,,,,640.000000,1.150
,,,,642.000000,1.152
,,,,644.000000,1.152
,,,,646.000000,1.151
,,,,648.000000,1.151
